Name, Domestic Gross, Worldwide Gross, Budget, Rating, Release Date, Close date,         Opening Weekend, Genre, Theatre Count, Runtime, Distributor, Director, Actors,,
#Horror,N/A,N/A,N/A,Unknown,November 20 2015,N/A,N/A,Horror,N/A,1 hrs. 30 min.,IFC,N/A,&Chloe Sevigny,,
$9.99,52384,$708354,N/A,R,December 12 2008,January 21 2010,478,Animation,4,1 hrs. 18 min.,Regent Releasing,N/A,N/A,,
$upercapitalist,15919,N/A,N/A,Unrated,August 10 2012,August 30 2012,8372,Thriller,1,1 hrs. 36 min.,Truly Indie,N/A,N/A,,
(500) Days of Summer,32391374,$60722734,7500000,PG-13,July 17 2009,November 22 2009,3739702,Romance,1048,1 hrs. 35 min.,Fox Searchlight,&Marc Webb,&Zooey Deschanel&Joseph Gordon-Levitt&Chloe Moretz&Clark Gregg&Minka Kelly*,,
(Untitled),230600,N/A,N/A,R,October 23 2009,December 10 2009,18002,Comedy,25,1 hrs. 36 min.,Samuel Goldwyn,N/A,N/A,,
...And Justice for All,33300000,N/A,N/A,R,October 19 1979,N/A,N/A,Drama,N/A,1 hrs. 59 min.,Columbia,N/A,&Craig T. Nelson*&Al Pacino,,
1 Mile Above,N/A,N/A,N/A,Not Yet Rated,June 7 2013,N/A,N/A,Foreign,N/A,1 hrs. 27 min.,Asia Releasing,N/A,N/A,,
1+1=11,132498,N/A,N/A,Unrated,March 28 2003,N/A,92342,Unknown,18,N/A,Eros,N/A,N/A,,
1&000 Times Good Night,53895,$53895,N/A,Unrated,October 24 2014,November 20 2014,24120,Foreign,24,1 hrs. 57 min.,Film Movement,N/A,N/A,,
10,74865517,N/A,N/A,R,October 5 1979,N/A,3526692,Romantic Comedy,N/A,2 hrs. 1 min.,Warner Bros.,N/A,&Julie Andrews,,
10 Cloverfield Lane,69793284,$101193284,N/A,PG-13,March 11 2016,N/A,24727437,Thriller,3427,1 hrs. 45 min.,Paramount,N/A,&Mary Elizabeth Winstead,,
10 Days in a Madhouse,14616,N/A,N/A,Unrated,November 11 2015,November 22 2015,4773,Drama,10,1 hrs. 51 min.,Cafe Pictures,N/A,N/A,,
10 Items or Less,83291,$1399222,N/A,R,December 1 2006,December 21 2006,35929,Comedy,15,1 hrs. 22 min.,ThinkFilm,&Brad Silberling,&Morgan Freeman&Jonah Hill,,
10 Questions for the Dalai Lama,224546,$484487,N/A,Unrated,April 27 2007,December 20 2007,N/A,Documentary,11,1 hrs. 29 min.,Monterey Media, Inc.,N/A,N/A,
10 Rules for Sleeping Around,N/A,N/A,N/A,R,April 4 2014,N/A,N/A,Comedy,N/A,1 hrs. 34 min.,Screen Media,N/A,N/A,,
10 Things I Hate About You,38178166,$53478166,30000000,PG-13,March 31 1999,N/A,8330681,Romantic Comedy,2311,1 hrs. 37 min.,Buena Vista,N/A,&Julia Stiles&Heath Ledger&Joseph Gordon-Levitt,,
10 to Midnight,7175592,N/A,N/A,R,March 11 1983,N/A,3050225,Unknown,595,1 hrs. 43 min.,MGM,N/A,N/A,,
10 Years,203373,$203373,N/A,PG-13,September 14 2012,October 11 2012,22707,Comedy / Drama,63,1 hrs. 40 min.,Anchor Bay Films,&Jamie Linden,&Channing Tatum&Chris Pratt&Jenna Dewan-Tatum&Rosario Dawson&Justin Long&Aubrey Plaza&Anthony Mackie&Ron Livingston,,
10&000 B.C.,94784201,$269784201,105000000,PG-13,March 7 2008,June 19 2008,35867488,Period Adventure,3454,1 hrs. 49 min.,Warner Bros.,&Roland Emmerich,N/A,,
10&000 Km,12423,N/A,N/A,R,July 10 2015,July 16 2015,8941,Comedy / Drama,11,1 hrs. 39 min.,Broad Green Pictures,N/A,N/A,,
100 Bloody Acres,6388,N/A,N/A,Unrated,June 28 2013,N/A,3419,Horror Comedy,13,N/A,Doppelganger Releasing,N/A,N/A,,
The 100-Year Old Man Who Climbed Out the Window and Disappeared,944193,$51130193,N/A,R,May 1 2015,September 10 2015,N/A,Foreign,76,1 hrs. 54 min.,Music Box Films,N/A,N/A,,
1001 Grams,10983,$10983,N/A,Unrated,May 8 2015,October 29 2015,N/A,Drama,1,1 hrs. 33 min.,Kino Lorber,N/A,N/A,,
101 Dalmatians,14000000,$215880014,N/A,G,January 25 1961,N/A,N/A,Animation,N/A,1 hrs. 19 min.,Disney,N/A,N/A,,
101 Dalmatians (1996),136189294,$320689294,N/A,G,November 27 1996,N/A,33504025,Family Comedy,2901,1 hrs. 43 min.,Buena Vista,N/A,&Glenn Close&Hugh Laurie,,
101 Dalmatians (Re-issue) (1969),18000000,N/A,N/A,G,January 1 1969,N/A,N/A,Animation,N/A,1 hrs. 19 min.,Disney,N/A,N/A,,
101 Dalmatians (Re-issue) (1979),19000000,N/A,N/A,G,January 1 1979,N/A,N/A,Animation,N/A,1 hrs. 19 min.,Disney,N/A,N/A,,
101 Dalmatians (Re-issue) (1985),33049729,N/A,N/A,G,December 20 1985,N/A,2389226,Animation,1185,1 hrs. 19 min.,Buena Vista,N/A,N/A,,
101 Dalmatians (Re-issue) (1991),60830285,N/A,N/A,G,July 12 1991,N/A,10279044,Animation,1825,1 hrs. 19 min.,Buena Vista,N/A,N/A,,
101 Reykjavik,126404,$126404,N/A,Unrated,July 27 2001,N/A,14656,Unknown,2,1 hrs. 40 min.,Menemsha,N/A,N/A,,
102 Dalmatians,66957026,$183611771,85000000,G,November 22 2000,N/A,19883351,Family Comedy,2704,1 hrs. 44 min.,Buena Vista,N/A,&Glenn Close&Ioan Gruffudd,,
10th & Wolf,54702,$143451,8000000,R,August 18 2006,September 14 2006,20774,Crime Drama,6,1 hrs. 50 min.,ThinkFilm,N/A,&James Marsden&Giovanni Ribisi&Piper Perabo&Val Kilmer,,
11 Flowers,9213,N/A,N/A,Unrated,February 22 2013,May 19 2013,3516,Foreign,2,1 hrs. 50 min.,First Run,N/A,N/A,,
11-11-11,32771,$5739384,N/A,PG-13,November 11 2011,November 13 2011,32771,Horror,17,1 hrs. 22 min.,Rocket Releasing,&Darren Lynn Bousman,N/A,,
The 11th Hour,707343,$985207,N/A,PG,August 17 2007,October 4 2007,60853,Documentary,111,1 hrs. 33 min.,Warner Independent,N/A,&Leonardo DiCaprio*,,
11th Hour,N/A,N/A,N/A,Unrated,June 12 2015,N/A,N/A,Drama,N/A,1 hrs. 37 min.,Brainstorm Media,N/A,&Kim Basinger,,
12,125120,$7537453,N/A,PG-13,March 4 2009,June 25 2009,12042,Foreign,20,2 hrs. 39 min.,Sony Classics,N/A,N/A,,
12 Angry Men,N/A,N/A,N/A,Unrated,April 13 1957,N/A,N/A,Drama,N/A,1 hrs. 36 min.,United Artists,N/A,N/A,,
12 Monkeys,57141459,$168839459,N/A,R,December 29 1995,N/A,13842990,Sci-Fi,1629,2 hrs. 10 min.,Universal,&Terry Gilliam,&Brad Pitt&Bruce Willis,,
12 O'Clock Boys,82614,N/A,N/A,Unrated,January 31 2014,February 27 2014,44108,Documentary,21,1 hrs. 16 min.,Oscilloscope Pictures,N/A,N/A,,
12 Rounds,12234694,$17280326,N/A,PG-13,March 27 2009,June 11 2009,5329240,Action / Adventure,2331,1 hrs. 48 min.,Fox,&Renny Harlin,&John Cena,,
12 Years a Slave,56671993,$187733202,20000000,R,October 18 2013,May 8 2014,6675731,Drama,1474,2 hrs. 13 min.,Fox Searchlight,&Steve McQueen (II),&Michael K. Williams&Chiwetel Ejiofor&Michael Fassbender&Brad Pitt&Benedict Cumberbatch&Paul Dano&Paul Giamatti&Lupita Nyong'o,,
12-12-12,N/A,N/A,N/A,R,November 15 2013,N/A,N/A,Concert,N/A,1 hrs. 45 min.,Weinstein Company,N/A,N/A,,
127 Hours,18335230,$60738797,18000000,R,November 5 2010,April 14 2011,2136801,Drama,916,1 hrs. 33 min.,Fox Searchlight,&Danny Boyle,&James Franco,,
12:08 East of Bucharest,91881,$523703,N/A,Unrated,June 6 2007,September 3 2007,11586,Foreign,4,1 hrs. 29 min.,Tartan,N/A,N/A,,
13 Assassins,802778,$17555141,N/A,R,April 29 2011,August 25 2011,45854,Foreign,31,2 hrs. 6 min.,Magnolia,N/A,N/A,,
13 Conversations About One Thing,3288164,$3706652,N/A,R,May 24 2002,December 5 2002,89499,Drama,68,1 hrs. 34 min.,Sony Classics,N/A,&Matthew McConaughey,,
13 Going on 30,57231747,$96455697,37000000,PG-13,April 23 2004,August 19 2004,21054283,Fantasy Comedy,3453,1 hrs. 37 min.,Sony (Revolution),&Gary Winick,&Andy Serkis&Jennifer Garner&Mark Ruffalo,,
13 Hours:The Secret Soldiers of Benghazi,52853219,$68172818,50000000,R,January 15 2016,March 24 2016,16194738,Drama,2917,2 hrs. 24 min.,Paramount,&Michael Bay,&John Krasinski,,
13 Months of Sunshine,2337,N/A,N/A,Unrated,June 6 2008,June 8 2008,2237,Drama,1,1 hrs. 38 min.,Unknown,N/A,N/A,,
13 Sins,13809,$13809,N/A,R,April 18 2014,April 24 2014,9261,Thriller,45,1 hrs. 32 min.,Radius-TWC,N/A,&Ron Perlman,,
13 Tzameti,121390,$795223,N/A,Unrated,July 28 2006,November 12 2006,10805,Foreign,6,1 hrs. 26 min.,Palm,N/A,N/A,,
13B,12449,$2494521,N/A,Unrated,March 6 2009,March 30 2009,6752,Foreign,10,2 hrs. 26 min.,AdLabs,N/A,N/A,,
The 13th Alley,250992,N/A,N/A,R,June 13 2008,June 19 2008,112946,Horror,72,1 hrs. 23 min.,Super Chief Films,N/A,N/A,,
